rank,city,avg,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
310,"Fatehpur Sikri, India",88,93,61,57,84,78,88,62,63,57,112,146,153
311,"Firozabad, India",88,101,86,67,73,65,79,49,76,66,100,142,155
312,"Haripur, India",88,119,90,68,77,78,71,54,68,64,88,122,160
313,"Umaria, India",88,128,109,95,88,87,77,42,60,48,113,119,87
314,"Vientiane, Laos",88,121,150,206,173,64,31,25,38,28,51,82,88
315,"Bhopal, India",87,116,126,92,80,88,67,41,57,58,121,100,95
316,"Khajuraho, India",87,93,94,91,95,91,77,49,65,62,129,110,89
317,"Mandamari, India",87,127,111,88,82,72,75,47,58,59,89,120,117
318,"Sihor, India",87,117,139,99,80,80,66,52,50,50,98,113,96
319,"Bengbu, China",87,125,90,137,101,67,63,44,49,53,82,109,125
320,"Fuxin, China",87,106,114,158,124,100,57,58,45,55,71,60,98
321,"Tieling, China",87,111,128,145,144,73,53,47,35,44,78,80,106
322,"Yiyang, China",87,202,133,96,71,59,48,38,51,53,85,92,121
323,"Changzhi, China",86,125,144,125,101,64,61,54,54,58,75,74,96
324,"Yulinshi, China",86,114,79,174,135,72,54,52,61,51,61,79,95
325,"Bahraich, India",86,145,104,79,71,65,63,38,56,45,84,141,139
326,"Godhra, India",86,116,119,93,87,98,75,57,58,51,89,102,87
327,"Jamshedpur, India",86,161,138,103,102,85,60,55,68,54,37,86,83
328,"Khambhat, India",86,111,110,92,88,101,78,60,54,49,87,108,91
329,"Al Ahmadi, Kuwait",86,90,92,66,75,89,108,86,95,98,83,72,77
330,"Phon Hong, Laos",86,85,121,261,319,-,-,-,46,34,-,72,90
331,"Abohar, India",85,137,80,60,65,67,65,37,56,61,90,191,113
332,"Mandsaur, India",85,117,103,138,78,75,61,48,64,50,97,102,90
333,"Ahvaz, Iran",85,85,89,68,72,97,80,71,90,90,74,110,93
334,"Bojnurd, Iran",85,63,73,77,78,64,75,105,90,91,92,112,105
335,"Yazd, Iran",85,67,68,56,76,99,116,136,96,85,101,68,49
336,"Fushun, China",85,111,116,128,142,71,53,47,39,47,84,75,109
337,"Xiping, China",85,112,83,126,135,88,64,56,53,54,73,83,91
338,"Ouagadougou, Burkina Faso",84,165,173,115,103,69,69,59,57,59,61,46,30
339,"Baiyin, China",84,132,92,123,140,82,62,53,63,49,43,86,79
340,"Harbin, China",84,143,125,116,136,74,42,38,31,36,65,84,115
341,"Laixi, China",84,124,111,128,113,74,51,41,42,47,68,77,134
342,"Langfang, China",84,92,114,150,113,68,53,48,47,62,82,77,103
343,"Liaoyang, China",84,101,125,117,136,73,56,50,45,52,63,78,109
344,"Mizhou, China",84,124,87,127,111,72,55,43,43,52,71,94,131
345,"Neijiang, China",84,174,142,81,64,65,47,45,45,50,56,100,138
346,"Pingdu, China",84,116,103,135,109,76,54,42,43,47,63,88,127
347,"Shenmu, China",84,115,78,140,157,89,55,55,58,51,50,76,78
348,"Weichanglu, China",84,122,109,130,116,73,54,44,43,45,60,78,130
349,"Agra, India",84,86,49,51,67,61,73,56,83,83,106,135,153
350,"Barddhaman, India",84,152,122,91,90,72,63,31,64,42,67,94,124
